Names,County ,Addition,County 2,Tory_Pop
"Amary, John",Albany,Yeoman,Albany,300
"Adams, John",Albany,Farmer,Montgomery,297
"Alt, Hendrick",Montgomery,Farmer,Dutchess,65
"Adams, John",Albany,Yeoman,Orange,29
"Anderson, Joshua",Dutchess,Yeoman,Westchester,68
"Asten, Valentine",Albany,Yeoman,Long Island,1
"Alt, Michael",Montgomery,Yeoman,Washington,26
"Anguish, John",Montgomery,Laborer,Ulster,43
"Allbrands, Francis",Montgomery,Laborer,New York,1
"Anderson, Jonathan",Dutchess,Yeoman,Kings  ,8
"Allbrands, Francis",Montgomery,Farmer,Chemung,3
"Alt, Michael ",Montgomery,Farmer,Queens ,1
"Alysa, Isaac",Orange,Yeoman,,
"Armstrong, John",Orange,Barber,,
"Atlen, Willam",Dutchess,Yeoman,,
"Amory, John",Albany,Yeoman,,
"Bates, John",Westchester,Yeoman,,
"Barker, Thomas",Westchester,Yeoman,,
"Blauw, Waldron",Montgomery,Merchant,,
"Bogard, Jacolus ",Orange,Yeoman,,
"Barker, Thomas",Dutchess,Esquire,,
"Bowen, Carnelius",Montgomery,Yeoman,,
"Bradt, Albert",Albany,Yeoman,,
"Bouck, Christian ",Albany,Yeoman,,
"Bowen, William",Montgomery,Yeoman,,
"Backer, Bastian ",Albany,Farmer,,
"Brigs, Anderson",Albany,Yeoman,,
"Brush, Joseph",Dutchess,Cordwainer,,
"Betts, Thomas",Long Island,Yeoman,,
"Bender, George",Montgomery,Yeoman,,
"Becker, Hendricus",Albany,Farmer,,
"Brown, Johannis",Albany,Farmer,,
"Bouch, Christian",Albany,Farmer,,
"Bell, Bederick",Montgomery,Yeoman,,
"Bradehouse, Francis",Montgomery,Laborer,,
"Bawwer, Casper ",Montgomery,Yeoman,,
"Ball, Jacob",Albany,Yeoman,,
"Bouck, Adam",Albany,Yeoman,,
"Becker, Hammical",Albany,Farmer,,
"Becker, Nicholas",Albany,Farmer,,
"Blair, John",Montgomery,Farmer,,
"Brunson, Samuel",Washington,Farmer,,
"Bough, Adam",Albany,Farmer,,
"Bradhouse, Francis",Montgomery,Farmer,,
"Becker, Coenrad",Albany,Farmer,,
"Bowen, Wesel",Montgomery,Yeoman,,
"Brown, Adam",Albany,Farmer,,
"Becker, Conrad",Albany,Yeoman,,
"Backer, Hendrick",Albany,Farmer,,
"Bouck, Fredrick",Albany,Yeoman,,
"Bouck, David",Albany,Farmer,,
"Bouck, Fredrick",Albany,Farmer,,
"Becker, Henry",Albany,Yeoman,,
"Bough, Frederick",Albany,Farmer,,
"Bauck, Adam",Albany,Farmer,,
"Bauck, Frederick",Albany,Yeoman,,
"Bouck, David",Albany,Yeoman,,
"Bauch, Frederick",Albany,Farmer,,
"Bauch, David ",Albany,Farmer,,
"Becker, Bastion",Albany,Yeoman,,
"Becker, Conrad",Albany,Laborer,,
"Brown, Michael",Albany,Farmer,,
"Becker, Hendricus",Albany,Farmer,,
"Bauch, Frederick",Albany,Farmer,,
"Bauch, Christian",Albany,Farmer,,
"Bauch, Adam",Albany,Farmer,,
"Brandt, Mary",Montgomery,Widow,,
